rwfind -- Fri, 03 Jan 2014 19:17:20 -0800

Found 8 flows over the last 1 days to/from the following:
89.248.172.58

            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime|      dur|
  89.248.172.58|  156.74.106.24|14969|   22|  6|         1|        48| S      |2014/01/03T23:22:13.994|    0.000|
  89.248.172.58|  156.74.106.28|14969|   22|  6|         1|        48| S      |2014/01/03T23:22:13.994|    0.000|
  89.248.172.58|  156.74.144.70|14969|   22|  6|         1|        48| S      |2014/01/03T23:22:13.995|    0.000|
  156.74.106.24|  89.248.172.58|   22|14969|  6|         1|        40|  R A   |2014/01/03T23:22:13.995|    0.000|
  156.74.106.28|  89.248.172.58|   22|14969|  6|         1|        40|  R A   |2014/01/03T23:22:13.995|    0.000|
  156.74.144.70|  89.248.172.58|    0|  778|  1|         1|        76|        |2014/01/03T23:22:13.995|    0.000|
  89.248.172.58|  156.74.106.26|14969|   22|  6|         1|        48| S      |2014/01/03T23:22:13.997|    0.000|
  156.74.106.26|  89.248.172.58|   22|14969|  6|         1|        40|  R A   |2014/01/03T23:22:13.997|    0.000|

