Bulk mode; whois.cymru.com [2014-06-11 20:19:11 +0000]
4766    | 61.81.228.28     | 61.81.224.0/19      | KR | apnic    | 2001-05-11 | KIXS-AS-KR Korea Telecom,KR
4134    | 61.131.10.74     | 61.131.0.0/17       | CN | apnic    |            | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.136.171.198   | 61.136.128.0/18     | CN | apnic    |            | CHINANET-BACKBONE No.31,Jin-rong Street,CN
4134    | 61.144.43.235    | 61.144.0.0/15       | CN | apnic    | 2000-03-14 | CHINANET-BACKBONE No.31,Jin-rong Street,CN
23650   | 61.147.70.28     | 61.147.70.0/24      | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.70.29     | 61.147.70.0/24      | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.70.99     | 61.147.70.0/24      | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.70.100    | 61.147.70.0/24      | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.70.103    | 61.147.70.0/24      | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.70.115    | 61.147.70.0/24      | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.70.123    | 61.147.70.0/24      | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.103.7     | 61.147.103.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
23650   | 61.147.103.81    | 61.147.103.0/24     | CN | apnic    | 2000-03-14 | CHINANET-JS-AS-AP AS Number for CHINANET jiangsu province backbone,CN
